id_row,Date,New Business Type,Loan Type,Loan Duration,Other,Rate,Amount
0,200301,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.42000007629395,2592.0
1,200301,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,6.01999998092651,47.0
2,200301,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,4.25,1440.0
3,200301,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.78999996185303,11430.0
4,200301,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,4.15999984741211,4736.0
5,200301,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
6,200301,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
7,200301,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.50999999046326,9063.0
8,200301,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.25,77.0
9,200301,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
10,200301,Households,Loans for consumption,Over 5 years,NA,8.64999961853027,7.0
11,200302,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,4.05000019073486,1445.0
12,200302,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.39000010490417,2329.0
13,200302,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
14,200302,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.75,57.0
15,200302,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
16,200302,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.73000001907349,13650.0
17,200302,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,4.26000022888184,3845.0
18,200302,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.45000004768372,8260.0
19,200302,Households,Loans for consumption,Over 5 years,NA,1.39999997615814,10.0
20,200302,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
21,200302,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,4.15999984741211,67.0
22,200303,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.30999994277954,9691.0
23,200303,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,4.05000019073486,4803.0
24,200303,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
25,200303,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
26,200303,Households,Loans for consumption,Over 5 years,NA,2.35999989509583,10.0
27,200303,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,3.95000004768372,1362.0
28,200303,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.21000003814697,4653.0
29,200303,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
30,200303,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.98000001907349,82.0
31,200303,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.63000011444092,41.0
32,200303,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.58999991416931,20263.0
33,200304,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
34,200304,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.89000010490417,81.0
35,200304,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.24000000953674,9043.0
36,200304,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.32999992370605,3814.0
37,200304,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,4.0,1266.0
38,200304,Households,Loans for consumption,Over 5 years,NA,1.42999994754791,8.0
39,200304,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,4.1399998664856,4133.0
40,200304,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
41,200304,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
42,200304,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.80999994277954,37.0
43,200304,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.53999996185303,20522.0
44,200305,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.20000004768372,8982.0
45,200305,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.80999994277954,81.0
46,200305,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.07000017166138,37.0
47,200305,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
48,200305,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,4.01000022888184,4420.0
49,200305,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,3.74000000953674,1486.0
50,200305,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
51,200305,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
52,200305,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.53999996185303,19644.0
53,200305,Households,Loans for consumption,Over 5 years,NA,1.62000000476837,6.0
54,200305,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.27999997138977,3597.0
55,200306,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,3.65000009536743,1489.0
56,200306,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.25999999046326,9340.0
57,200306,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,1.89999997615814,9937.0
58,200306,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
59,200306,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.96999979019165,33.0
60,200306,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
61,200306,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
62,200306,Households,Loans for consumption,Over 5 years,NA,2.22000002861023,6.0
63,200306,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.17000007629395,23867.0
64,200306,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.85999989509583,79.0
65,200306,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,3.60999989509583,709.0
66,200307,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,3.64000010490417,1364.0
67,200307,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,1.86000001430511,9243.0
68,200307,Households,Loans for consumption,Over 5 years,NA,2.0,8.0
69,200307,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
70,200307,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
71,200307,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.70000004768372,118.0
72,200307,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
73,200307,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.09999990463257,22511.0
74,200307,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.52999997138977,5270.0
75,200307,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,4.82999992370605,36.0
76,200307,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,3.51999998092651,939.0
77,200308,Households,Loans for other purposes,Floating rate and up to 1 year initial rate fixation,NA,3.73000001907349,1112.0
78,200308,Non financial corporations,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,2.08999991416931,27938.0
79,200308,Households,Loans for consumption,Over 5 years,NA,5.75,6.0
80,200308,Households,Loans for house purchase,Floating rate and up to 1 year initial rate fixation,NA,3.74000000953674,74.0
81,200308,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.59999990463257,24.0
82,200308,Households,Loans for house purchase,Over 10 years initial rate fixation,NA,0.0,0.0
83,200308,Households,Loans for house purchase,Over 5 and up to 10 years initial rate fixation,NA,0.0,0.0
84,200308,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Over 1 million euro,3.33999991416931,5629.0
85,200308,Non financial corporations,Loans,Floating rate and up to 1 year initial rate fixation,Up to 1 million euro,3.46000003814697,879.0
86,200308,Households,Deposits with agreed maturity,Up to 1 year  initial maturity,NA,1.82000005245209,8106.0
87,200308,Households,Loans for house purchase,Over 1 and up to 5 years initial rate fixation,NA,0.0,0.0
88,200309,Households,Loans for consumption,Over 1 and up to 5 years initial rate fixation,NA,5.61999988555908,27.0
